# x,y,susceptibility,density
-1.660250000000000000e+06,1.743250000000000000e+06,1.762605645250862885e-02,1.325387382633232392e+01
-1.660000000000000000e+06,1.743250000000000000e+06,1.783650235450484622e-02,1.241507153475760106e+01
-1.659750000000000000e+06,1.743250000000000000e+06,1.711872714131161544e-02,2.683965305331554418e+00
-1.659500000000000000e+06,1.743250000000000000e+06,1.587133278712535289e-02,-2.488781991652643910e+00
-1.659250000000000000e+06,1.743250000000000000e+06,1.491208393315961167e-02,-1.164189661829939837e+01
-1.659000000000000000e+06,1.743250000000000000e+06,1.388423739349486929e-02,-1.880501686667014383e+01
-1.658750000000000000e+06,1.743250000000000000e+06,1.169077749808684896e-02,-2.015861810979487245e+01
-1.658500000000000000e+06,1.743250000000000000e+06,4.376015817900771876e-03,-5.755276849851526322e+00
-1.658250000000000000e+06,1.743250000000000000e+06,1.789355114509061373e-03,-2.328989840899367891e+00
-1.658000000000000000e+06,1.743250000000000000e+06,9.714552033544682219e-04,-1.728350494165511009e+00
-1.657750000000000000e+06,1.743250000000000000e+06,3.878162600770423962e-04,-1.479257300144467990e+00
-1.657500000000000000e+06,1.743250000000000000e+06,-5.852487300424535910e-04,-1.497905794962747450e+00
-1.657250000000000000e+06,1.743250000000000000e+06,-6.079397186777996120e-04,-1.410595309132276043e+00
-1.657000000000000000e+06,1.743250000000000000e+06,-3.229671603516795497e-03,-5.232031652751743422e+00
-1.656750000000000000e+06,1.743250000000000000e+06,-6.674557106006437368e-03,-1.002596178951594652e+01
-1.688750000000000000e+06,1.743500000000000000e+06,-5.253423663303946611e-05,1.347638199915621726e+00
-1.688500000000000000e+06,1.743500000000000000e+06,-2.631213526144149384e-05,1.348578650868006434e+00
-1.688250000000000000e+06,1.743500000000000000e+06,5.148457599774003413e-06,1.342427114860669235e+00
-1.688000000000000000e+06,1.743500000000000000e+06,-1.222429865131713367e-05,1.349525663663371233e+00
-1.687750000000000000e+06,1.743500000000000000e+06,-3.408991504091629654e-04,1.243844606213514226e+00
-1.687500000000000000e+06,1.743500000000000000e+06,-1.944540665098956622e-03,-8.430351993306430813e-01
-1.687250000000000000e+06,1.743500000000000000e+06,-8.094597519941876262e-03,-1.117840612529900568e+01
-1.687000000000000000e+06,1.743500000000000000e+06,-9.085819806814679489e-03,-1.330679154250699980e+01
-1.686750000000000000e+06,1.743500000000000000e+06,-9.310495683753888807e-03,-1.400981493367876851e+01
-1.686500000000000000e+06,1.743500000000000000e+06,-9.494335612873786023e-03,-1.616284432545728578e+01
-1.686250000000000000e+06,1.743500000000000000e+06,-9.641341466937680682e-03,-2.880427063365519302e+01
-1.686000000000000000e+06,1.743500000000000000e+06,-9.460714581795398592e-03,-3.294066976820309378e+01
-1.685750000000000000e+06,1.743500000000000000e+06,-9.134851993075496224e-03,-4.174420946808083954e+01
-1.685500000000000000e+06,1.743500000000000000e+06,-8.965642962413769568e-03,-4.792966887505463092e+01
-1.685250000000000000e+06,1.743500000000000000e+06,-8.906481352640771565e-03,-5.118514065353286924e+01
-1.685000000000000000e+06,1.743500000000000000e+06,-8.983582220102259708e-03,-5.756551783486318641e+01
-1.684750000000000000e+06,1.743500000000000000e+06,-9.226469471648263143e-03,-6.125527307734535043e+01
-1.684500000000000000e+06,1.743500000000000000e+06,-8.088732820900570997e-03,-6.731056730130819687e+01
-1.684250000000000000e+06,1.743500000000000000e+06,5.057026402662298525e-03,-7.915624373934036839e+01
-1.684000000000000000e+06,1.743500000000000000e+06,5.502999160327731731e-03,-9.479354083740338410e+01
-1.683750000000000000e+06,1.743500000000000000e+06,6.998645193660918418e-03,-1.088320088916106840e+02
-1.683500000000000000e+06,1.743500000000000000e+06,1.004880652319221912e-02,-1.189856364715261066e+02
-1.683250000000000000e+06,1.743500000000000000e+06,1.485847006105781021e-02,-1.304349207203064225e+02
-1.683000000000000000e+06,1.743500000000000000e+06,1.739788755916076013e-02,-1.409611343000897818e+02
-1.682750000000000000e+06,1.743500000000000000e+06,1.790672061293900608e-02,-1.463521665820372846e+02
-1.682500000000000000e+06,1.743500000000000000e+06,1.759886827863829661e-02,-1.481298819003531548e+02
-1.682250000000000000e+06,1.743500000000000000e+06,1.691058233518563658e-02,-1.521124942848225601e+02
-1.682000000000000000e+06,1.743500000000000000e+06,1.660221832792137253e-02,-1.528735099060949949e+02
-1.681750000000000000e+06,1.743500000000000000e+06,1.636399647401416690e-02,-1.540424912289895474e+02
-1.681500000000000000e+06,1.743500000000000000e+06,1.625837828186194045e-02,-1.552544111030227327e+02
-1.681250000000000000e+06,1.743500000000000000e+06,1.615787933450456293e-02,-1.560622084305184956e+02
-1.681000000000000000e+06,1.743500000000000000e+06,1.608396152972876858e-02,-1.564303261322814933e+02
-1.680750000000000000e+06,1.743500000000000000e+06,1.614521726503732879e-02,-1.562527704674502615e+02
-1.680500000000000000e+06,1.743500000000000000e+06,1.636172622160395052e-02,-1.552985855891806750e+02
-1.680250000000000000e+06,1.743500000000000000e+06,1.670202304794080050e-02,-1.538293386747928366e+02
-1.680000000000000000e+06,1.743500000000000000e+06,1.708333217811128235e-02,-1.526986195937354864e+02
